# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
1.8624e+01 4.0927e-06 -2.3366e-06 4.7127e-06 -6.4490e-06 2.7172e-06 6.9981e-06 -3.2007e-06 3.9568e-08 3.2009e-06 -9.2343e-05 -9.6181e-05 1.3333e-04 2.9765e-04 3.1700e-04 4.3484e-04 2.4098e-04 -2.2612e-04 3.3046e-04
1.8179e+01 -5.3382e-07 -2.8119e-06 2.8621e-06 2.8747e-07 4.2418e-06 4.2516e-06 -3.7604e-06 -6.1957e-06 7.2475e-06 9.0548e-05 9.4305e-05 1.3074e-04 -2.9187e-04 -3.1081e-04 4.2637e-04 -2.3679e-04 2.2218e-04 3.2471e-04
1.7750e+01 5.1512e-06 -3.8745e-06 6.4457e-06 -8.2828e-06 4.7966e-06 9.5714e-06 -5.2760e-06 -1.8048e-06 5.5762e-06 -8.8750e-05 -9.2430e-05 1.2814e-04 2.8608e-04 3.0462e-04 4.1790e-04 2.3304e-04 -2.1869e-04 3.1958e-04
1.7337e+01 7.9484e-07 -4.7294e-06 4.7958e-06 -2.0121e-06 6.8333e-06 7.1234e-06 -6.3560e-06 -8.4854e-06 1.0602e-05 8.7115e-05 9.0719e-05 1.2577e-04 -2.8082e-04 -2.9898e-04 4.1018e-04 -2.2919e-04 2.1507e-04 3.1429e-04
1.6937e+01 6.7852e-06 -6.2453e-06 9.2218e-06 -1.1113e-05 8.0017e-06 1.3694e-05 -8.4770e-06 -4.6441e-06 9.6658e-06 -8.5421e-05 -8.8954e-05 1.2333e-04 2.7536e-04 2.9316e-04 4.0220e-04 2.2592e-04 -2.1202e-04 3.0982e-04
1.6552e+01 2.8084e-06 -7.6387e-06 8.1386e-06 -5.4977e-06 1.0765e-05 1.2088e-05 -1.0292e-05 -1.1963e-05 1.5781e-05 8.3942e-05 8.7404e-05 1.2118e-04 -2.7060e-04 -2.8804e-04 3.9521e-04 -2.2232e-04 2.0864e-04 3.0489e-04
1.6178e+01 9.2297e-06 -9.7888e-06 1.3454e-05 -1.5346e-05 1.2792e-05 1.9979e-05 -1.3263e-05 -8.8852e-06 1.5964e-05 -8.2323e-05 -8.5719e-05 1.1885e-04 2.6539e-04 2.8248e-04 3.8759e-04 2.1953e-04 -2.0605e-04 3.0108e-04
1.5817e+01 5.7739e-06 -1.1926e-05 1.3250e-05 -1.0631e-05 1.6560e-05 1.9679e-05 -1.6092e-05 -1.7090e-05 2.3473e-05 8.1001e-05 8.4331e-05 1.1693e-04 -2.6113e-04 -2.7790e-04 3.8134e-04 -2.1611e-04 2.0282e-04 2.9638e-04
1.5467e+01 1.2786e-05 -1.4942e-05 1.9666e-05 -2.1506e-05 1.9758e-05 2.9204e-05 -2.0225e-05 -1.5050e-05 2.5210e-05 -7.9425e-05 -8.2693e-05 1.1466e-04 2.5605e-04 2.7250e-04 3.7392e-04 2.1383e-04 -2.0072e-04 2.9327e-04
1.5128e+01 1.0031e-05 -1.8083e-05 2.0678e-05 -1.8001e-05 2.4882e-05 3.0711e-05 -2.4418e-05 -2.4454e-05 3.4557e-05 7.8270e-05 8.1475e-05 1.1298e-04 -2.5234e-04 -2.6848e-04 3.6845e-04 -2.1047e-04 1.9754e-04 2.8865e-04
1.4799e+01 1.7835e-05 -2.2255e-05 2.8519e-05 -3.0248e-05 2.9643e-05 4.2352e-05 -3.0105e-05 -2.3797e-05 3.8375e-05 -7.6700e-05 -7.9848e-05 1.1072e-04 2.4728e-04 2.6311e-04 3.6107e-04 2.0875e-04 -1.9598e-04 2.8633e-04
1.4480e+01 1.6002e-05 -2.6721e-05 3.1146e-05 -2.8339e-05 3.6558e-05 4.6256e-05 -3.6099e-05 -3.4788e-05 5.0133e-05 7.5729e-05 7.8816e-05 1.0930e-04 -2.4416e-04 -2.5970e-04 3.5645e-04 -2.0534e-04 1.9273e-04 2.8162e-04
1.4171e+01 2.4845e-05 -3.2406e-05 4.0834e-05 -4.2386e-05 4.3365e-05 6.0639e-05 -4.3822e-05 -3.5938e-05 5.6674e-05 -7.4121e-05 -7.7156e-05 1.0699e-04 2.3898e-04 2.5422e-04 3.4891e-04 2.0426e-04 -1.9179e-04 2.8019e-04
1.3870e+01 2.4205e-05 -3.8591e-05 4.5554e-05 -4.2542e-05 5.2603e-05 6.7653e-05 -5.2149e-05 -4.8989e-05 7.1550e-05 7.3363e-05 7.6338e-05 1.0588e-04 -2.3654e-04 -2.5152e-04 3.4527e-04 -2.0065e-04 1.8834e-04 2.7520e-04
1.3577e+01 3.4386e-05 -4.6221e-05 5.7609e-05 -5.8907e-05 6.2039e-05 8.5551e-05 -6.2492e-05 -5.2461e-05 8.1593e-05 -7.1664e-05 -7.4592e-05 1.0344e-04 2.3106e-04 2.4576e-04 3.3733e-04 2.0034e-04 -1.8814e-04 2.7483e-04
1.3293e+01 3.5267e-05 -5.4599e-05 6.4998e-05 -6.1695e-05 7.4241e-05 9.6530e-05 -7.3791e-05 -6.8141e-05 1.0044e-04 7.1159e-05 7.4026e-05 1.0268e-04 -2.2944e-04 -2.4390e-04 3.3485e-04 -1.9635e-04 1.8430e-04 2.6930e-04
1.3016e+01 4.7143e-05 -6.4689e-05 8.0045e-05 -8.0996e-05 8.7005e-05 1.1887e-04 -8.7451e-05 -7.4550e-05 1.1491e-04 -6.9306e-05 -7.2131e-05 1.0003e-04 2.2347e-04 2.3764e-04 3.2621e-04 1.9696e-04 -1.8500e-04 2.7022e-04
1.2746e+01 4.9932e-05 -7.5822e-05 9.0786e-05 -8.7086e-05 1.0293e-04 1.3483e-04 -1.0248e-04 -9.3532e-05 1.3875e-04 6.9106e-05 7.1871e-05 9.9705e-05 -2.2283e-04 -2.3678e-04 3.2514e-04 -1.9237e-04 1.8056e-04 2.6383e-04
1.2484e+01 6.3924e-05 -8.8983e-05 1.0956e-04 -1.1005e-04 1.1984e-04 1.6271e-04 -1.2028e-04 -1.0360e-04 1.5875e-04 -6.7022e-05 -6.9750e-05 9.6732e-05 2.1611e-04 2.2979e-04 3.1545e-04 1.9411e-04 -1.8238e-04 2.6634e-04
1.2228e+01 6.9075e-05 -1.0353e-04 1.2446e-04 -1.2023e-04 1.4038e-04 1.8483e-04 -1.3994e-04 -1.2668e-04 1.8876e-04 6.7197e-05 6.9864e-05 9.6935e-05 -2.1668e-04 -2.3016e-04 3.1611e-04 -1.8865e-04 1.7707e-04 2.5874e-04
1.1978e+01 8.5676e-05 -1.2047e-04 1.4783e-04 -1.4772e-04 1.6241e-04 2.1954e-04 -1.6284e-04 -1.4126e-04 2.1558e-04 -6.4790e-05 -6.7425e-05 9.3508e-05 2.0892e-04 2.2212e-04 3.0493e-04 1.9179e-04 -1.8026e-04 2.6320e-04
1.1735e+01 9.3719e-05 -1.3920e-04 1.6781e-04 -1.6290e-04 1.8859e-04 2.4921e-04 -1.8816e-04 -1.6935e-04 2.5315e-04 6.5428e-05 6.7998e-05 9.4364e-05 -2.1098e-04 -2.2401e-04 3.0772e-04 -1.8515e-04 1.7377e-04 2.5392e-04
1.1497e+01 1.1349e-04 -1.6074e-04 1.9677e-04 -1.9588e-04 2.1684e-04 2.9222e-04 -2.1727e-04 -1.8943e-04 2.8825e-04 -6.2585e-05 -6.5131e-05 9.0327e-05 2.0182e-04 2.1455e-04 2.9455e-04 1.9002e-04 -1.7865e-04 2.6081e-04
1.1265e+01 1.2504e-04 -1.8452e-04 2.2290e-04 -2.1713e-04 2.4987e-04 3.3102e-04 -2.4944e-04 -2.2358e-04 3.3498e-04 6.3796e-05 6.6272e-05 9.1988e-05 -2.0572e-04 -2.1831e-04 2.9997e-04 -1.8181e-04 1.7061e-04 2.4932e-04
1.1039e+01 1.4864e-04 -2.1162e-04 2.5860e-04 -2.5674e-04 2.8561e-04 3.8404e-04 -2.8603e-04 -2.5027e-04 3.8007e-04 -6.0385e-05 -6.2845e-05 8.7154e-05 1.9472e-04 2.0701e-04 2.8420e-04 1.8880e-04 -1.7759e-04 2.5920e-04
1.0817e+01 1.6437e-04 -2.4146e-04 2.9210e-04 -2.8524e-04 3.2683e-04 4.3379e-04 -3.2641e-04 -2.9170e-04 4.3776e-04 6.2300e-05 6.4683e-05 8.9806e-05 -2.0090e-04 -2.1308e-04 2.9285e-04 -1.7856e-04 1.6752e-04 2.4484e-04
1.0601e+01 1.9254e-04 -2.7517e-04 3.3584e-04 -3.3275e-04 3.7151e-04 4.9874e-04 -3.7193e-04 -3.2628e-04 4.9476e-04 -5.8162e-05 -6.0539e-05 8.3952e-05 1.8755e-04 1.9941e-04 2.7375e-04 1.8817e-04 -1.7709e-04 2.5840e-04
1.0389e+01 2.1325e-04 -3.1221e-04 3.7809e-04 -3.6987e-04 4.2246e-04 5.6150e-04 -4.2205e-04 -3.7634e-04 5.6547e-04 6.0942e-05 6.3233e-05 8.7820e-05 -1.9651e-04 -2.0830e-04 2.8637e-04 -1.7535e-04 1.6446e-04 2.4041e-04
1.0182e+01 2.4682e-04 -3.5374e-04 4.3133e-04 -4.2673e-04 4.7772e-04 6.4056e-04 -4.7813e-04 -4.2025e-04 6.3657e-04 -5.5892e-05 -5.8188e-05 8.0683e-05 1.8022e-04 1.9166e-04 2.6309e-04 1.8816e-04 -1.7719e-04 2.5846e-04
9.9796e+00 2.7339e-04 -3.9926e-04 4.8389e-04 -4.7400e-04 5.4012e-04 7.1862e-04 -5.3972e-04 -4.8048e-04 7.2261e-04 5.9726e-05 6.1925e-05 8.6034e-05 -1.9258e-04 -2.0399e-04 2.8054e-04 -1.7212e-04 1.6136e-04 2.3593e-04
9.7811e+00 3.1329e-04 -4.4995e-04 5.4828e-04 -5.4182e-04 6.0778e-04 8.1423e-04 -6.0818e-04 -5.3534e-04 8.1022e-04 -5.3545e-05 -5.5762e-05 7.7308e-05 1.7264e-04 1.8367e-04 2.5208e-04 1.8882e-04 -1.7793e-04 2.5944e-04
9.5868e+00 3.4671e-04 -5.0538e-04 6.1287e-04 -6.0094e-04 6.8357e-04 9.1016e-04 -6.8317e-04 -6.0744e-04 9.1417e-04 5.8657e-05 6.0763e-05 8.4456e-05 -1.8912e-04 -2.0018e-04 2.7539e-04 -1.6879e-04 1.5816e-04 2.3131e-04
9.3964e+00 3.9398e-04 -5.6675e-04 6.9023e-04 -6.8153e-04 7.6565e-04 1.0250e-03 -7.6604e-04 -6.7503e-04 1.0210e-03 -5.1091e-05 -5.3232e-05 7.3783e-05 1.6472e-04 1.7534e-04 2.4058e-04 1.9018e-04 -1.7936e-04 2.6142e-04
9.2099e+00 4.3533e-04 -6.3366e-04 7.6879e-04 -7.5439e-04 8.5697e-04 1.1417e-03 -8.5658e-04 -7.6090e-04 1.1457e-03 5.7743e-05 5.9754e-05 8.3095e-05 -1.8616e-04 -1.9687e-04 2.7095e-04 -1.6530e-04 1.5479e-04 2.2646e-04
9.0270e+00 4.9112e-04 -7.0737e-04 8.6115e-04 -8.4974e-04 9.5573e-04 1.2789e-03 -9.5611e-04 -8.4322e-04 1.2748e-03 -4.8498e-05 -5.0564e-05 7.0063e-05 1.5633e-04 1.6657e-04 2.2844e-04 1.9233e-04 -1.8155e-04 2.6448e-04
