# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
1.3609e+01 -3.2383e-06 -5.9772e-06 6.7981e-06 4.1098e-06 9.1928e-06 1.0070e-05 -9.7519e-06 4.4928e-06 1.0737e-05 3.7668e-05 -7.2325e-05 8.1546e-05 -6.7241e-05 1.2370e-04 1.4080e-04 9.0937e-05 4.9337e-05 1.0346e-04
1.3380e+01 -4.2096e-06 -7.5472e-06 8.6418e-06 5.3669e-06 1.1621e-05 1.2801e-05 -1.1062e-05 4.9841e-06 1.2133e-05 -3.7139e-05 7.1296e-05 8.0389e-05 6.6293e-05 -1.2194e-04 1.3880e-04 -8.9863e-05 -4.8740e-05 1.0223e-04
1.3157e+01 -4.6143e-06 -8.4757e-06 9.6504e-06 5.8607e-06 1.3038e-05 1.4295e-05 -1.3597e-05 6.2434e-06 1.4962e-05 3.6656e-05 -7.0381e-05 7.9354e-05 -6.5429e-05 1.2038e-04 1.3701e-04 8.8687e-05 4.8110e-05 1.0090e-04
1.2939e+01 -5.7928e-06 -1.0422e-05 1.1924e-05 7.3814e-06 1.6046e-05 1.7662e-05 -1.5487e-05 6.9988e-06 1.6995e-05 -3.6152e-05 6.9396e-05 7.8248e-05 6.4527e-05 -1.1870e-04 1.3510e-04 -8.7721e-05 -4.7567e-05 9.9788e-05
1.2727e+01 -6.4298e-06 -1.1772e-05 1.3414e-05 8.1708e-06 1.8111e-05 1.9869e-05 -1.8671e-05 8.5533e-06 2.0537e-05 3.5705e-05 -6.8556e-05 7.7296e-05 -6.3727e-05 1.1726e-04 1.3346e-04 8.6594e-05 4.6969e-05 9.8512e-05
1.2521e+01 -7.8659e-06 -1.4187e-05 1.6222e-05 1.0019e-05 2.1840e-05 2.4028e-05 -2.1280e-05 9.6368e-06 2.3361e-05 -3.5222e-05 6.7605e-05 7.6230e-05 6.2862e-05 -1.1563e-04 1.3162e-04 -8.5739e-05 -4.6481e-05 9.7527e-05
1.2320e+01 -8.7893e-06 -1.6057e-05 1.8305e-05 1.1173e-05 2.4705e-05 2.7114e-05 -2.5265e-05 1.1556e-05 2.7782e-05 3.4811e-05 -6.6840e-05 7.5361e-05 -6.2126e-05 1.1433e-04 1.3012e-04 8.4645e-05 4.5907e-05 9.6292e-05
1.2123e+01 -1.0542e-05 -1.9046e-05 2.1768e-05 1.3424e-05 2.9317e-05 3.2244e-05 -2.8757e-05 1.3041e-05 3.1576e-05 -3.4345e-05 6.5913e-05 7.4324e-05 6.1290e-05 -1.1274e-04 1.2833e-04 -8.3903e-05 -4.5473e-05 9.5434e-05
1.1932e+01 -1.1814e-05 -2.1549e-05 2.4575e-05 1.5022e-05 3.3158e-05 3.6402e-05 -3.3718e-05 1.5404e-05 3.7070e-05 3.3969e-05 -6.5225e-05 7.3540e-05 -6.0617e-05 1.1157e-04 1.2697e-04 8.2826e-05 4.4916e-05 9.4221e-05
1.1745e+01 -1.3949e-05 -2.5234e-05 2.8833e-05 1.7760e-05 3.8841e-05 4.2709e-05 -3.8281e-05 1.7378e-05 4.2041e-05 -3.3514e-05 6.4311e-05 7.2520e-05 5.9803e-05 -1.1000e-04 1.2521e-04 -8.2206e-05 -4.4539e-05 9.3496e-05
1.1562e+01 -1.5643e-05 -2.8501e-05 3.2512e-05 1.9894e-05 4.3857e-05 4.8158e-05 -4.4418e-05 2.0276e-05 4.8827e-05 3.3175e-05 -6.3704e-05 7.1825e-05 -5.9196e-05 1.0897e-04 1.2401e-04 8.1126e-05 4.3991e-05 9.2286e-05
1.1383e+01 -1.8237e-05 -3.3021e-05 3.7722e-05 2.3216e-05 5.0825e-05 5.5876e-05 -5.0264e-05 2.2834e-05 5.5207e-05 -3.2727e-05 6.2791e-05 7.0808e-05 5.8392e-05 -1.0741e-04 1.2225e-04 -8.0637e-05 -4.3674e-05 9.1705e-05
1.1209e+01 -2.0433e-05 -3.7199e-05 4.2441e-05 2.5988e-05 5.7243e-05 6.2866e-05 -5.7804e-05 2.6370e-05 6.3535e-05 3.2426e-05 -6.2271e-05 7.0208e-05 -5.7854e-05 1.0652e-04 1.2122e-04 7.9535e-05 4.3126e-05 9.0474e-05
1.1039e+01 -2.3573e-05 -4.2709e-05 4.8782e-05 3.0005e-05 6.5735e-05 7.2259e-05 -6.5174e-05 2.9622e-05 7.1590e-05 -3.1980e-05 6.1344e-05 6.9180e-05 5.7053e-05 -1.0493e-04 1.1944e-04 -7.9191e-05 -4.2874e-05 9.0052e-05
1.0872e+01 -2.6361e-05 -4.7964e-05 5.4730e-05 3.3531e-05 7.3810e-05 8.1069e-05 -7.4371e-05 3.3914e-05 8.1739e-05 3.1719e-05 -6.0920e-05 6.8683e-05 -5.6587e-05 1.0421e-04 1.1858e-04 7.8041e-05 4.2316e-05 8.8776e-05
1.0709e+01 -3.0143e-05 -5.4639e-05 6.2402e-05 3.8364e-05 8.4095e-05 9.2433e-05 -8.3533e-05 3.7982e-05 9.1763e-05 -3.1268e-05 5.9965e-05 6.7627e-05 5.5777e-05 -1.0258e-04 1.1676e-04 -7.7860e-05 -4.2134e-05 8.8529e-05
1.0549e+01 -3.3625e-05 -6.1155e-05 6.9789e-05 4.2775e-05 9.4110e-05 1.0338e-04 -9.4673e-05 4.3157e-05 1.0405e-04 3.1051e-05 -5.9646e-05 6.7245e-05 -5.5390e-05 1.0203e-04 1.1610e-04 7.6638e-05 4.1556e-05 8.7179e-05
